divisao,com_cat_2015,tipico_2015,trajeto_2015,doenca_2015
86,2161,1810,324,27
47,1046,728,307,11
23,638,546,88,4
10,585,505,70,10
46,563,432,128,3
49,553,408,137,8
84,541,344,194,3
41,412,346,55,11
38,337,302,34,1
81,288,181,101,6
52,271,204,64,3
56,259,192,61,6
42,257,206,46,5
45,240,163,73,4
43,235,178,57,0
01,229,198,30,1
80,229,86,142,1
25,226,194,28,4
85,161,105,54,2
53,157,112,27,18
94,149,100,47,2
31,144,127,17,0
08,144,117,26,1
82,142,78,62,2
24,139,124,14,1
30,113,109,3,1
22,106,89,16,1
19,105,101,3,1
33,104,74,29,1
71,90,72,18,0
07,89,82,7,0
16,76,73,2,1
78,73,38,35,0
17,72,67,4,1
64,72,36,31,5
09,72,67,4,1
27,70,49,11,10
77,67,46,18,3
20,66,57,9,0
28,60,47,11,2
02,60,48,12,0
14,57,34,21,2
88,48,32,16,0
06,46,41,5,0
55,40,30,9,1
93,39,27,12,0
36,39,26,13,0
58,34,25,9,0
35,32,30,2,0
69,32,13,18,1
29,29,27,2,0
62,27,10,16,1
87,27,15,12,0
15,25,18,7,0
50,24,22,2,0
65,24,14,10,0
61,23,17,6,0
95,23,15,8,0
37,21,17,4,0
11,20,15,5,0
18,15,10,5,0
68,14,12,2,0
73,14,10,4,0
96,13,7,6,0
70,12,8,4,0
13,12,8,4,0
51,12,11,1,0
74,8,5,0,3
21,8,8,0,0
72,5,1,4,0
60,5,3,2,0
63,4,1,3,0
90,4,4,0,0
59,4,2,2,0
66,3,1,2,0
26,3,1,2,0
32,3,2,1,0
39,2,0,2,0
79,2,2,0,0
03,1,0,1,0
91,1,1,0,0
75,0,0,0,0
97,0,0,0,0
