codigo,nome,vbp_milhoes_RS,cats_2015,a_j_cats_per_milhao
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",3608.41,720,0.19953386671691964
0192,"Pecuária, inclusive o apoio à pecuária",2156.44,320,0.14839272133701842
0280,Produção florestal; pesca e aquicultura,496.0,75,0.15120967741935484
0580,Extração de carvão mineral e de minerais não-metálicos e metálicos não ferrosos,1326.14,530,0.3996561449017449
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",25140.98,2510,0.09983699919414438
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",8143.13,1465,0.1799062522641785
1000,Alimentos e bebidas,7647.78,1375,0.1797907366582198
1300,"Fabricação de produtos têxteis, artefatos do vestuário, couro e calçados",1286.46,155,0.12048567386471402
1600,"Fabricação de produtos da madeira, móveis e indústrias diversas",1489.71,300,0.20138147693175182
1700,"Fabricação de celulose, papel e produtos de papel",4579.35,915,0.1998100167054276
1900,"Refino de petróleo, coquerias e fabricação de biocombustíveis",328.52,13,0.039571411177401684
2000,"Fabricação de químicos, borracha e de material plástico",2186.4,130,0.059458470545188435
2300,Fabricação de produtos de minerais não-metálicos,6064.61,1090,0.17973126054272245
2400,Metalurgia,11379.76,2845,0.25000527251892835
2500,"Fabricação de produtos de metal, máquinas e equipamentos",4561.2,910,0.19950890116635975
2900,"Fabricação de automóveis, caminhões, peças e outros equipamentos de transporte",966.27,125,0.12936342844132592
3500,"Geração e distribuição de eletricidade e gás, água, esgoto e limpeza urbana",6069.04,245,0.0403688227462663
4180,Construção,11430.34,2055,0.17978467832102982
4500,Comércio por atacado e a varejo,24140.11,1205,0.049916922499524646
4900,Transporte,11216.3,1460,0.1301677023617414
5280,"Armazenamento, atividades auxiliares dos transportes e correio",2773.12,360,0.12981767828294485
5500,Alojamento e alimentação,4388.64,440,0.1002588501221335
5800,Serviço de informação,3599.0,70,0.019449847179772158
6480,"Intermediação financeira, seguros e previdência complementar",5129.09,75,0.014622476891612352
6800,Atividades imobiliárias,10347.78,30,0.0028991725761467677
6900,"Atividades profissionais, científicas e técnicas",3774.54,75,0.019869970910362588
7800,Atividades administrativas e serviços complementares,5140.4,360,0.07003346043109486
8400,Administração Pública,11880.37,475,0.039981919755024464
8591,Educação pública,5019.98,60,0.01195223885354125
8592,Educação privada,1569.36,30,0.0191160727940052
8691,Saúde pública,3383.0,440,0.1300620750812888
8692,Saúde privada,3448.68,690,0.2000765510282195
9080,"Atividades artísticas, criativas e de espetáculos",926.74,35,0.0377667954334549
9480,Organizações associativas e outros serviços pessoais,1657.76,115,0.06937071711224785
9700,Serviços domésticos,1019.02,5,0.004906675040725403
