codigo,nome,vbp_ES,vbp_milhoes_BR,cat_BR,cat_ES,a_ES,a_BR,razao_a_ES_BR,share_VBP_ES,share_VBP_BR,diff_share_pp,f_ES,f_BR_counterf,dif_f_pp
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",3608.410000,309301.000000,9576.000000,175.000000,0.048498,0.030960,1.566460,0.018199,0.030244,-1.204489,0.065839,0.043357,0.022483
0192,"Pecuária, inclusive o apoio à pecuária",2156.440000,137018.000000,4566.000000,54.000000,0.025041,0.033324,0.751447,0.010876,0.013398,-0.252181,0.045224,0.051169,-0.005945
0280,Produção florestal; pesca e aquicultura,496.000000,32411.000000,1982.000000,61.000000,0.122984,0.061152,2.011115,0.002502,0.003169,-0.066762,0.156239,0.085555,0.070684
0580,Extração de carvão mineral e de minerais não-metálicos e metálicos não ferrosos,1326.140000,35836.000000,3360.000000,144.000000,0.108586,0.093760,1.158119,0.006688,0.003504,0.318430,0.127344,0.109472,0.017872
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",25140.980000,171984.000000,729.000000,118.000000,0.004694,0.004239,1.107287,0.126799,0.016817,10.998202,0.039708,0.033943,0.005765
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",8143.130000,52753.000000,735.000000,89.000000,0.010929,0.013933,0.784438,0.041070,0.005158,3.591172,0.078126,0.074353,0.003773
1000,Alimentos e bebidas,7647.780000,648020.000000,40381.000000,605.000000,0.079108,0.062314,1.269496,0.038572,0.063364,-2.479277,0.123531,0.101239,0.022292
1300,"Fabricação de produtos têxteis, artefatos do vestuário, couro e calçados",1286.460000,147964.000000,11608.000000,94.000000,0.073069,0.078452,0.931387,0.006488,0.014468,-0.797988,0.097617,0.100175,-0.002558
1600,"Fabricação de produtos da madeira, móveis e indústrias diversas",1489.710000,96986.000000,10726.000000,327.000000,0.219506,0.110593,1.984802,0.007513,0.009483,-0.197008,0.254829,0.137497,0.117332
1700,"Fabricação de celulose, papel e produtos de papel",4579.350000,99810.000000,5891.000000,87.000000,0.018998,0.059022,0.321885,0.023096,0.009760,1.333643,0.042921,0.086349,-0.043429
1900,"Refino de petróleo, coquerias e fabricação de biocombustíveis",328.520000,416190.000000,5337.000000,105.000000,0.319615,0.012823,24.924240,0.001657,0.040696,-3.903884,0.358782,0.040695,0.318087
2000,"Fabricação de químicos, borracha e de material plástico",2186.400000,419635.000000,16560.000000,180.000000,0.082327,0.039463,2.086192,0.011027,0.041033,-3.000546,0.115193,0.065624,0.049569
2300,Fabricação de produtos de minerais não-metálicos,6064.610000,89569.000000,8266.000000,638.000000,0.105200,0.092286,1.139935,0.030587,0.008758,2.182875,0.147875,0.130941,0.016934
2400,Metalurgia,11379.760000,158754.000000,6515.000000,139.000000,0.012215,0.041038,0.297640,0.057394,0.015523,4.187076,0.064090,0.090556,-0.026466
2500,"Fabricação de produtos de metal, máquinas e equipamentos",4561.200000,431574.000000,29144.000000,359.000000,0.078707,0.067530,1.165525,0.023004,0.042200,-1.919553,0.102786,0.091027,0.011759
2900,"Fabricação de automóveis, caminhões, peças e outros equipamentos de transporte",966.270000,267958.000000,14041.000000,142.000000,0.146957,0.052400,2.804520,0.004873,0.026201,-2.132798,0.187479,0.081587,0.105893
3500,"Geração e distribuição de eletricidade e gás, água, esgoto e limpeza urbana",6069.040000,323598.000000,13738.000000,431.000000,0.071016,0.042454,1.672783,0.030609,0.031642,-0.103265,0.106707,0.066131,0.040576
4180,Construção,11430.340000,632308.000000,38363.000000,904.000000,0.079088,0.060671,1.303543,0.057649,0.061828,-0.417902,0.120286,0.094499,0.025786
4500,Comércio por atacado e a varejo,24140.110000,1100763.000000,72110.000000,1849.000000,0.076595,0.065509,1.169219,0.121751,0.107634,1.411659,0.101628,0.085823,0.015805
4900,Transporte,11216.300000,390273.000000,21763.000000,589.000000,0.052513,0.055764,0.941706,0.056570,0.038162,1.840804,0.080541,0.078043,0.002498
5280,"Armazenamento, atividades auxiliares dos transportes e correio",2773.120000,115144.000000,20941.000000,428.000000,0.154339,0.181868,0.848631,0.013986,0.011259,0.272730,0.197856,0.215690,-0.017833
5500,Alojamento e alimentação,4388.640000,247416.000000,14825.000000,299.000000,0.068130,0.059919,1.137036,0.022134,0.024193,-0.205857,0.090326,0.078360,0.011966
5800,Serviço de informação,3599.000000,350466.000000,4926.000000,97.000000,0.026952,0.014056,1.917526,0.018152,0.034269,-1.611753,0.068664,0.046708,0.021956
6480,"Intermediação financeira, seguros e previdência complementar",5129.090000,574611.000000,8527.000000,99.000000,0.019302,0.014840,1.300686,0.025869,0.056186,-3.031776,0.034743,0.027016,0.007728
6800,Atividades imobiliárias,10347.780000,545929.000000,1162.000000,14.000000,0.001353,0.002128,0.635640,0.052189,0.053382,-0.119265,0.007848,0.007383,0.000464
6900,"Atividades profissionais, científicas e técnicas",3774.540000,398719.000000,6601.000000,161.000000,0.042654,0.016556,2.576434,0.019037,0.038987,-1.995045,0.063803,0.034441,0.029363
7800,Atividades administrativas e serviços complementares,5140.400000,248385.000000,26640.000000,801.000000,0.155824,0.107253,1.452870,0.025926,0.024287,0.163819,0.174228,0.121835,0.052394
8400,Administração Pública,11880.370000,719620.000000,13740.000000,541.000000,0.045537,0.019093,2.384975,0.059919,0.070366,-1.044680,0.057071,0.027840,0.029231
8591,Educação pública,5019.980000,309034.000000,,0.000000,0.000000,0.000000,,0.025318,0.030218,-0.489951,0.017515,0.013308,0.004207
8592,Educação privada,1569.360000,110787.000000,8673.000000,161.000000,0.102590,0.078285,1.310457,0.007915,0.010833,-0.291784,0.122503,0.093241,0.029263
8691,Saúde pública,3383.000000,179155.000000,3202.000000,0.000000,0.000000,0.017873,0.000000,0.017062,0.017518,-0.045586,0.028693,0.039981,-0.011287
