codigo,nome,vbp_milhoes_RS,ocupacoes
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",3608.41,297687
0192,"Pecuária, inclusive o apoio à pecuária",2156.44,50931
0280,Produção florestal; pesca e aquicultura,496.0,29356
0580,Extração de carvão mineral e de minerais não-metálicos e metálicos não ferrosos,1326.14,9988
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",25140.98,6896
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",8143.13,3290
1000,Alimentos e bebidas,7647.78,31397
1300,"Fabricação de produtos têxteis, artefatos do vestuário, couro e calçados",1286.46,35029
1600,"Fabricação de produtos da madeira, móveis e indústrias diversas",1489.71,22654
1700,"Fabricação de celulose, papel e produtos de papel",4579.35,1928
1900,"Refino de petróleo, coquerias e fabricação de biocombustíveis",328.52,970
2000,"Fabricação de químicos, borracha e de material plástico",2186.4,5866
2300,Fabricação de produtos de minerais não-metálicos,6064.61,35830
2400,Metalurgia,11379.76,11017
2500,"Fabricação de produtos de metal, máquinas e equipamentos",4561.2,29108
2900,"Fabricação de automóveis, caminhões, peças e outros equipamentos de transporte",966.27,3592
3500,"Geração e distribuição de eletricidade e gás, água, esgoto e limpeza urbana",6069.04,11394
4180,Construção,11430.34,182903
4500,Comércio por atacado e a varejo,24140.11,320829
4900,Transporte,11216.3,88381
5280,"Armazenamento, atividades auxiliares dos transportes e correio",2773.12,22637
5500,Alojamento e alimentação,4388.64,90847
5800,Serviço de informação,3599.0,17578
6480,"Intermediação financeira, seguros e previdência complementar",5129.09,19191
6800,Atividades imobiliárias,10347.78,5981
6900,"Atividades profissionais, científicas e técnicas",3774.54,86636
7800,Atividades administrativas e serviços complementares,5140.4,52165
8400,Administração Pública,11880.37,101938
8591,Educação pública,5019.98,71961
8592,Educação privada,1569.36,40602
8691,Saúde pública,3383.0,44977
8692,Saúde privada,3448.68,46915
9080,"Atividades artísticas, criativas e de espetáculos",926.74,9163
9480,Organizações associativas e outros serviços pessoais,1657.76,79660
9700,Serviços domésticos,1019.02,113951
