codigo,nome,vbp_milhoes_RS,ocupacoes,acidentes,a_j,phi_F,phi_M,a_F,a_M,f_F,f_M,f_total,share_F_na_pegada,gap_f_pegada,encargo_F,encargo_M
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",3608.410000,297687,175.000000,0.048498,0.220000,0.780000,0.010670,0.037828,0.015348,0.050491,0.065839,0.233119,-0.035143,0.000279,0.000919
0192,"Pecuária, inclusive o apoio à pecuária",2156.440000,50931,54.000000,0.025041,0.180000,0.820000,0.004507,0.020534,0.010707,0.034517,0.045224,0.236761,-0.023809,0.000116,0.000375
0280,Produção florestal; pesca e aquicultura,496.000000,29356,61.000000,0.122984,0.150000,0.850000,0.018448,0.104536,0.026271,0.129967,0.156239,0.168149,-0.103696,0.000066,0.000325
0580,Extração de carvão mineral e de minerais não-metálicos e metálicos não ferrosos,1326.140000,9988,144.000000,0.108586,0.120000,0.880000,0.013030,0.095556,0.018928,0.108416,0.127344,0.148638,-0.089488,0.000127,0.000725
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",25140.980000,6896,118.000000,0.004694,0.180000,0.820000,0.000845,0.003849,0.011716,0.027992,0.039708,0.295049,-0.016276,0.001486,0.003549
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",8143.130000,3290,89.000000,0.010929,0.100000,0.900000,0.001093,0.009837,0.021605,0.056521,0.078126,0.276540,-0.034916,0.000887,0.002321
1000,Alimentos e bebidas,7647.780000,31397,605.000000,0.079108,0.350000,0.650000,0.027688,0.051420,0.042207,0.081324,0.123531,0.341673,-0.039116,0.001628,0.003137
1300,"Fabricação de produtos têxteis, artefatos do vestuário, couro e calçados",1286.460000,35029,94.000000,0.073069,0.650000,0.350000,0.047495,0.025574,0.057510,0.040107,0.097617,0.589141,0.017403,0.000373,0.000260
1600,"Fabricação de produtos da madeira, móveis e indústrias diversas",1489.710000,22654,327.000000,0.219506,0.200000,0.800000,0.043901,0.175605,0.053918,0.200911,0.254829,0.211585,-0.146993,0.000405,0.001510
1700,"Fabricação de celulose, papel e produtos de papel",4579.350000,1928,87.000000,0.018998,0.220000,0.780000,0.004180,0.014819,0.012152,0.030769,0.042921,0.283118,-0.018617,0.000281,0.000711
1900,"Refino de petróleo, coquerias e fabricação de biocombustíveis",328.520000,970,105.000000,0.319615,0.180000,0.820000,0.057531,0.262085,0.067714,0.291068,0.358782,0.188733,-0.223354,0.000112,0.000482
2000,"Fabricação de químicos, borracha e de material plástico",2186.400000,5866,180.000000,0.082327,0.260000,0.740000,0.021405,0.060922,0.032434,0.082759,0.115193,0.281560,-0.050325,0.000358,0.000913
2300,Fabricação de produtos de minerais não-metálicos,6064.610000,35830,638.000000,0.105200,0.220000,0.780000,0.023144,0.082056,0.035478,0.112397,0.147875,0.239919,-0.076919,0.001085,0.003438
2400,Metalurgia,11379.760000,11017,139.000000,0.012215,0.120000,0.880000,0.001466,0.010749,0.017245,0.046845,0.064090,0.269072,-0.029600,0.000990,0.002689
2500,"Fabricação de produtos de metal, máquinas e equipamentos",4561.200000,29108,359.000000,0.078707,0.220000,0.780000,0.017316,0.061392,0.025309,0.077477,0.102786,0.246227,-0.052168,0.000582,0.001782
2900,"Fabricação de automóveis, caminhões, peças e outros equipamentos de transporte",966.270000,3592,142.000000,0.146957,0.200000,0.800000,0.029391,0.117565,0.040967,0.146512,0.187479,0.218516,-0.105545,0.000200,0.000714
3500,"Geração e distribuição de eletricidade e gás, água, esgoto e limpeza urbana",6069.040000,11394,431.000000,0.071016,0.250000,0.750000,0.017754,0.053262,0.027420,0.079287,0.106707,0.256964,-0.051867,0.000839,0.002427
4180,Construção,11430.340000,182903,904.000000,0.079088,0.080000,0.920000,0.006327,0.072761,0.017749,0.102537,0.120286,0.147558,-0.084788,0.001023,0.005911
4500,Comércio por atacado e a varejo,24140.110000,320829,1849.000000,0.076595,0.450000,0.550000,0.034468,0.042127,0.042792,0.058836,0.101628,0.421068,-0.016043,0.005210,0.007163
4900,Transporte,11216.300000,88381,589.000000,0.052513,0.150000,0.850000,0.007877,0.044636,0.018677,0.061864,0.080541,0.231894,-0.043187,0.001057,0.003500
5280,"Armazenamento, atividades auxiliares dos transportes e correio",2773.120000,22637,428.000000,0.154339,0.280000,0.720000,0.043215,0.111124,0.058705,0.139151,0.197856,0.296704,-0.080447,0.000821,0.001946
5500,Alojamento e alimentação,4388.640000,90847,299.000000,0.068130,0.550000,0.450000,0.037472,0.030659,0.045071,0.045255,0.090326,0.498979,-0.000184,0.000998,0.001002
5800,Serviço de informação,3599.000000,17578,97.000000,0.026952,0.380000,0.620000,0.010242,0.016710,0.025392,0.043272,0.068664,0.369799,-0.017880,0.000461,0.000785
6480,"Intermediação financeira, seguros e previdência complementar",5129.090000,19191,99.000000,0.019302,0.520000,0.480000,0.010037,0.009265,0.016511,0.018232,0.034743,0.475228,-0.001721,0.000427,0.000472
6800,Atividades imobiliárias,10347.780000,5981,14.000000,0.001353,0.470000,0.530000,0.000636,0.000717,0.002492,0.005355,0.007848,0.317579,-0.002863,0.000130,0.000279
6900,"Atividades profissionais, científicas e técnicas",3774.540000,86636,161.000000,0.042654,0.420000,0.580000,0.017915,0.024739,0.025727,0.038076,0.063803,0.403226,-0.012349,0.000490,0.000725
7800,Atividades administrativas e serviços complementares,5140.400000,52165,801.000000,0.155824,0.460000,0.540000,0.071679,0.084145,0.078415,0.095814,0.174228,0.450068,-0.017399,0.002033,0.002484
8400,Administração Pública,11880.370000,101938,541.000000,0.045537,0.420000,0.580000,0.019126,0.026412,0.023721,0.033350,0.057071,0.415635,-0.009630,0.001421,0.001998
8591,Educação pública,5019.980000,71961,0.000000,0.000000,0.720000,0.280000,0.000000,0.000000,0.006881,0.010634,0.017515,0.392868,-0.003753,0.000174,0.000269
8592,Educação privada,1569.360000,40602,161.000000,0.102590,0.720000,0.280000,0.073865,0.028725,0.081286,0.041217,0.122503,0.663543,0.040069,0.000643,0.000326
8691,Saúde pública,3383.000000,44977,0.000000,0.000000,0.780000,0.220000,0.000000,0.000000,0.011523,0.017170,0.028693,0.401592,-0.005647,0.000197,0.000293
8692,Saúde privada,3448.680000,46915,2236.000000,0.648364,0.780000,0.220000,0.505724,0.142640,0.567859,0.167551,0.735410,0.772167,0.400308,0.009877,0.002914
9080,"Atividades artísticas, criativas e de espetáculos",926.740000,9163,44.000000,0.047478,0.420000,0.580000,0.019941,0.027537,0.027470,0.039399,0.066869,0.410801,-0.011929,0.000128,0.000184
9480,Organizações associativas e outros serviços pessoais,1657.760000,79660,185.000000,0.111596,0.400000,0.600000,0.044639,0.066958,0.061846,0.090928,0.152773,0.404820,-0.029082,0.000517,0.000760
9700,Serviços domésticos,1019.020000,113951,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
