codigo,nome,vbp_milhoes_RS,acidentes,acidentes_tipico,acidentes_trajeto,acidentes_doenca
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",3608.41,175.0,154.0,20.0,1.0
0192,"Pecuária, inclusive o apoio à pecuária",2156.44,54.0,44.0,10.0,0.0
0280,Produção florestal; pesca e aquicultura,496.0,61.0,48.0,13.0,0.0
0580,Extração de carvão mineral e de minerais não-metálicos e metálicos não ferrosos,1326.14,144.0,117.0,26.0,1.0
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",25140.98,118.0,108.0,9.0,1.0
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",8143.13,89.0,82.0,7.0,0.0
1000,Alimentos e bebidas,7647.78,605.0,520.0,75.0,10.0
1300,"Fabricação de produtos têxteis, artefatos do vestuário, couro e calçados",1286.46,94.0,60.0,32.0,2.0
1600,"Fabricação de produtos da madeira, móveis e indústrias diversas",1489.71,327.0,276.0,49.0,2.0
1700,"Fabricação de celulose, papel e produtos de papel",4579.35,87.0,77.0,9.0,1.0
1900,"Refino de petróleo, coquerias e fabricação de biocombustíveis",328.52,105.0,101.0,3.0,1.0
2000,"Fabricação de químicos, borracha e de material plástico",2186.4,180.0,154.0,25.0,1.0
2300,Fabricação de produtos de minerais não-metálicos,6064.61,638.0,546.0,88.0,4.0
2400,Metalurgia,11379.76,139.0,124.0,14.0,1.0
2500,"Fabricação de produtos de metal, máquinas e equipamentos",4561.2,359.0,291.0,52.0,16.0
2900,"Fabricação de automóveis, caminhões, peças e outros equipamentos de transporte",966.27,142.0,136.0,5.0,1.0
3500,"Geração e distribuição de eletricidade e gás, água, esgoto e limpeza urbana",6069.04,431.0,375.0,55.0,1.0
4180,Construção,11430.34,904.0,730.0,158.0,16.0
4500,Comércio por atacado e a varejo,24140.11,1849.0,1323.0,508.0,18.0
4900,Transporte,11216.3,589.0,441.0,140.0,8.0
5280,"Armazenamento, atividades auxiliares dos transportes e correio",2773.12,428.0,316.0,91.0,21.0
5500,Alojamento e alimentação,4388.64,299.0,222.0,70.0,7.0
5800,Serviço de informação,3599.0,97.0,58.0,38.0,1.0
6480,"Intermediação financeira, seguros e previdência complementar",5129.09,99.0,51.0,43.0,5.0
6800,Atividades imobiliárias,10347.78,14.0,12.0,2.0,0.0
6900,"Atividades profissionais, científicas e técnicas",3774.54,161.0,109.0,48.0,4.0
7800,Atividades administrativas e serviços complementares,5140.4,801.0,431.0,358.0,12.0
8400,Administração Pública,11880.37,541.0,344.0,194.0,3.0
8591,Educação pública,5019.98,0.0,0.0,0.0,0.0
8592,Educação privada,1569.36,161.0,105.0,54.0,2.0
8691,Saúde pública,3383.0,0.0,0.0,0.0,0.0
8692,Saúde privada,3448.68,2236.0,1857.0,352.0,27.0
9080,"Atividades artísticas, criativas e de espetáculos",926.74,44.0,32.0,12.0,0.0
9480,Organizações associativas e outros serviços pessoais,1657.76,185.0,122.0,61.0,2.0
9700,Serviços domésticos,1019.02,0.0,0.0,0.0,0.0
