cnae,total_2013,total_2014,total_2015,com_cat_2013,com_cat_2014,com_cat_2015,tipico_2013,tipico_2014,tipico_2015,trajeto_2013,trajeto_2014,trajeto_2015,doenca_2013,doenca_2014,doenca_2015,sem_cat_2013,sem_cat_2014,sem_cat_2015
0111,0,10,8,0,2,2,0,2,2,0,0,0,0,0,0,0,8,6
0112,3,9,5,3,3,1,3,2,1,0,1,0,0,0,0,0,6,4
0113,80,55,45,70,55,42,67,44,39,2,10,2,1,1,1,10,0,3
0116,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0119,3,5,13,3,5,13,2,5,8,1,0,5,0,0,0,0,0,0
0121,3,10,6,3,2,1,3,2,0,0,0,1,0,0,0,0,8,5
0122,2,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0
0132,9,56,19,9,56,19,6,16,18,3,40,1,0,0,0,0,0,0
0133,45,58,41,44,58,41,40,50,35,4,8,6,0,0,0,1,0,0
0134,38,38,27,32,36,26,30,24,22,2,11,4,0,1,0,6,2,1
0135,3,5,3,3,5,3,3,5,3,0,0,0,0,0,0,0,0,0
0139,15,8,16,15,8,16,14,8,15,1,0,1,0,0,0,0,0,0
0141,15,13,14,15,13,14,11,10,11,4,3,3,0,0,0,0,0,0
0142,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0151,48,25,17,43,25,17,37,22,15,5,3,2,1,0,0,5,0,0
0152,1,1,2,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0
0154,0,1,8,0,1,8,0,1,7,0,0,1,0,0,0,0,0,0
0155,7,15,12,7,15,12,5,11,9,2,4,3,0,0,0,0,0,0
0161,17,17,10,14,17,10,12,12,10,1,5,0,1,0,0,3,0,0
0162,1,2,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0
0210,12,17,15,12,17,15,7,15,11,5,2,4,0,0,0,0,0,0
0220,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
0230,71,63,45,68,63,45,60,56,37,8,7,8,0,0,0,3,0,0
0322,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0600,58,43,46,56,43,46,52,36,41,3,6,5,1,1,0,2,0,0
0710,71,98,89,71,98,89,62,82,82,4,9,7,5,7,0,0,0,0
0729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0810,146,140,130,127,140,130,93,114,106,25,19,23,9,7,1,19,0,0
0892,3,0,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0
0893,3,6,3,3,6,3,0,5,2,3,1,1,0,0,0,0,0,0
0899,9,8,10,6,8,10,5,5,8,1,2,2,0,1,0,3,0,0
0910,62,65,71,62,65,71,59,55,66,3,9,4,0,1,1,0,0,0
0990,0,2,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0
1011,67,156,170,61,156,170,56,144,164,5,10,6,0,2,0,6,0,0
1012,142,187,184,113,178,175,89,144,148,24,30,25,0,4,2,29,9,9
1013,2,3,3,2,3,3,1,1,3,1,2,0,0,0,0,0,0,0
1020,13,13,13,11,13,13,9,12,12,1,1,1,1,0,0,2,0,0
1031,10,10,4,10,10,4,7,8,3,3,2,1,0,0,0,0,0,0
1033,33,18,12,33,18,12,25,14,8,8,4,4,0,0,0,0,0,0
1051,4,6,3,4,6,3,4,6,3,0,0,0,0,0,0,0,0,0
1052,36,48,40,31,48,40,25,30,31,6,18,9,0,0,0,5,0,0
1053,3,1,4,3,1,4,3,1,3,0,0,0,0,0,1,0,0,0
1062,9,10,8,9,10,8,9,9,7,0,1,1,0,0,0,0,0,0
1063,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1066,13,24,21,10,24,21,9,23,18,1,1,2,0,0,1,3,0,0
1069,4,0,1,2,0,1,2,0,0,0,0,1,0,0,0,2,0,0
1071,25,47,22,17,47,22,16,45,21,1,2,1,0,0,0,8,0,0
1081,5,1,1,4,1,1,3,1,1,1,0,0,0,0,0,1,0,0
1082,8,15,13,8,15,13,8,12,10,0,3,3,0,0,0,0,0,0
1091,56,50,36,49,50,36,42,41,28,7,8,8,0,1,0,7,0,0
1092,3,3,2,3,3,2,2,3,2,1,0,0,0,0,0,0,0,0
1093,66,48,36,57,48,36,32,24,25,11,15,6,14,9,5,9,0,0
1094,8,8,13,7,8,13,6,5,10,1,3,2,0,0,1,1,0,0
1095,3,1,0,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0
1096,2,5,3,2,5,3,1,5,3,1,0,0,0,0,0,0,0,0
1099,12,11,4,10,11,4,8,8,4,2,3,0,0,0,0,2,0,0
1111,2,6,3,2,4,2,2,3,0,0,1,2,0,0,0,0,2,1
1112,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1113,2,5,0,1,5,0,1,2,0,0,3,0,0,0,0,1,0,0
1121,4,2,1,4,2,1,3,1,1,1,1,0,0,0,0,0,0,0
1122,57,50,17,54,50,17,41,42,14,13,7,3,0,1,0,3,0,0
1311,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1314,1,0,2,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0
1340,9,2,2,8,2,2,6,0,2,2,2,0,0,0,0,1,0,0
1351,5,1,6,4,1,6,2,1,4,1,0,2,1,0,0,1,0,0
1353,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1354,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
1359,0,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0
1411,15,12,4,11,12,4,7,6,1,2,6,2,2,0,1,4,0,0
1412,68,54,45,47,54,45,27,24,29,18,30,15,2,0,1,21,0,0
1413,6,6,3,4,6,3,4,1,2,0,5,1,0,0,0,2,0,0
1414,5,1,5,4,1,5,4,1,2,0,0,3,0,0,0,1,0,0
1510,14,13,9,13,13,9,11,12,9,1,1,0,1,0,0,1,0,0
1521,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1529,1,0,2,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0
1531,5,2,1,3,2,1,3,2,1,0,0,0,0,0,0,2,0,0
1532,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
